Categoría de clientes,Subcategoría,Energía facturada por servicio electrico (GWh),Energía facturada por servicio electrico (%),Mes,Año
Demanda Regulada,Residencial,8070.8,37.63%,Febrero,2021
Demanda Regulada,Industrial,4831.74,22.53%,Febrero,2021
Demanda Regulada,Comercial,3343.2,15.59%,Febrero,2021
Demanda Regulada,Otros,2306.93,10.75%,Febrero,2021
Demanda Regulada,SAPG,1442.95,6.73%,Febrero,2021
Demanda No Regulada,Demanda No Regulada,1454.84,6.78%,Febrero,2021
Demanda Regulada,Residencial,8084.4,37.52%,Marzo,2021
Demanda Regulada,Industrial,4912.4,22.80%,Marzo,2021
Demanda Regulada,Comercial,3330.81,15.46%,Marzo,2021
Demanda Regulada,Otros,2302.87,10.69%,Marzo,2021
Demanda Regulada,SAPG,1442.91,6.70%,Marzo,2021
Demanda No Regulada,Demanda No Regulada,1475.05,6.85%,Marzo,2021
Demanda Regulada,Residencial,8074.93,36.97%,Abril,2021
Demanda Regulada,Industrial,5103.93,23.37%,Abril,2021
Demanda Regulada,Comercial,3382.24,15.48%,Abril,2021
Demanda Regulada,Otros,2324.27,10.64%,Abril,2021
Demanda Regulada,SAPG,1441.7,6.60%,Abril,2021
Demanda No Regulada,Demanda No Regulada,1516.11,6.94%,Abril,2021
Demanda Regulada,Residencial,8041.46,36.33%,Mayo,2021
Demanda Regulada,Industrial,5304.1,23.96%,Mayo,2021
Demanda Regulada,Comercial,3453.49,15.60%,Mayo,2021
Demanda Regulada,Otros,2344.91,10.59%,Mayo,2021
Demanda Regulada,SAPG,1446.14,6.53%,Mayo,2021
Demanda No Regulada,Demanda No Regulada,1543.45,6.97%,Mayo,2021
Demanda Regulada,Residencial,7979.27,35.78%,Junio,2021
Demanda Regulada,Industrial,5415.11,24.28%,Junio,2021
Demanda Regulada,Comercial,3540.17,15.88%,Junio,2021
Demanda Regulada,Otros,2358.16,10.58%,Junio,2021
Demanda Regulada,SAPG,1449.54,6.50%,Junio,2021
Demanda No Regulada,Demanda No Regulada,1556.08,6.98%,Junio,2021
Demanda Regulada,Residencial,7965.66,35.49%,Julio,2021
Demanda Regulada,Industrial,5495.09,24.48%,Julio,2021
Demanda Regulada,Comercial,3585.05,15.97%,Julio,2021
Demanda Regulada,Otros,2376.95,10.59%,Julio,2021
Demanda Regulada,SAPG,1451.55,6.47%,Julio,2021
Demanda No Regulada,Demanda No Regulada,1571.14,7.00%,Julio,2021
Demanda Regulada,Residencial,7967.21,35.26%,Agosto,2021
Demanda Regulada,Industrial,5572.11,24.66%,Agosto,2021
Demanda Regulada,Comercial,3628.94,16.06%,Agosto,2021
Demanda Regulada,Otros,2387.12,10.57%,Agosto,2021
Demanda Regulada,SAPG,1453.12,6.43%,Agosto,2021
Demanda No Regulada,Demanda No Regulada,1584.34,7.01%,Agosto,2021
Demanda Regulada,Residencial,7949.44,35.15%,Septiembre,2021
Demanda Regulada,Industrial,5552.11,24.55%,Septiembre,2021
Demanda Regulada,Comercial,3660.43,16.19%,Septiembre,2021
Demanda Regulada,Otros,2408.23,10.65%,Septiembre,2021
Demanda Regulada,SAPG,1450.46,6.41%,Septiembre,2021
Demanda No Regulada,Demanda No Regulada,1594.34,7.05%,Septiembre,2021
Demanda Regulada, Residencial ,7960.26,35.06%,Octubre,2021
Demanda Regulada, Industrial ,5579.69,24.58%,Octubre,2021
Demanda Regulada, Comercial ,3686.48,16.24%,Octubre,2021
Demanda Regulada, Otros ,2419.04,10.66%,Octubre,2021
Demanda Regulada, SAPG ,1448.98,6.38%,Octubre,2021
Demanda No Regulada,Demanda No Regulada,1608.26,7.08%,Octubre,2021
Demanda Regulada, Residencial ,7964.58,34.92%,Noviembre,2021
Demanda Regulada, Industrial ,5622.42,24.65%,Noviembre,2021
Demanda Regulada, Comercial ,3714.57,16.28%,Noviembre,2021
Demanda Regulada, Otros ,2425.61,10.63%,Noviembre,2021
Demanda Regulada, SAPG ,1454.67,6.38%,Noviembre,2021
Demanda No Regulada,Demanda No Regulada,1628.25,7.14%,Noviembre,2021
Demanda Regulada, Residencial ,7959.12,34.77%,Diciembre,2021
Demanda Regulada, Industrial ,5660.47,24.73%,Diciembre,2021
Demanda Regulada, Comercial ,3740.77,16.34%,Diciembre,2021
Demanda Regulada, Otros ,2431.44,10.62%,Diciembre,2021
Demanda Regulada, SAPG ,1456.6,6.36%,Diciembre,2021
Demanda No Regulada,Demanda No Regulada,1641.28,7.17%,Diciembre,2021
Demanda Regulada, Residencial ,7943.07,34.58%,Enero,2022
Demanda Regulada, Industrial ,5707.4,24.84%,Enero,2022
Demanda Regulada, Comercial ,3761.85,16.38%,Enero,2022
Demanda Regulada, Otros ,2447.75,10.66%,Enero,2022
Demanda Regulada, SAPG ,1459.68,6.35%,Enero,2022
Demanda No Regulada,Demanda No Regulada,1652.79,7.19%,Enero,2022
Demanda Regulada, Residencial ,7921.42,34.39%,Febrero,2022
Demanda Regulada, Industrial ,5747.63,24.95%,Febrero,2022
Demanda Regulada, Comercial ,3775.41,16.39%,Febrero,2022
Demanda Regulada, Otros ,2455.81,10.66%,Febrero,2022
Demanda Regulada, SAPG ,1465.53,6.36%,Febrero,2022
Demanda No Regulada,Demanda No Regulada,1670.81,7.25%,Febrero,2022
Demanda Regulada, Residencial ,7923.67,34.31%,Marzo,2022
Demanda Regulada, Industrial ,5757.94,24.93%,Marzo,2022
Demanda Regulada, Comercial ,3796.98,16.44%,Marzo,2022
Demanda Regulada, Otros ,2458.62,10.64%,Marzo,2022
Demanda Regulada, SAPG ,1470.38,6.37%,Marzo,2022
Demanda No Regulada,Demanda No Regulada,1690.13,7.32%,Marzo,2022
Demanda Regulada, Residencial ,7906.22,34.04%,Abril,2022
Demanda Regulada, Industrial ,5833.99,25.12%,Abril,2022
Demanda Regulada, Comercial ,3828.66,16.48%,Abril,2022
Demanda Regulada, Otros ,2469,10.63%,Abril,2022
Demanda Regulada, SAPG ,1475.53,6.35%,Abril,2022
Demanda No Regulada,Demanda No Regulada,1712.26,7.37%,Abril,2022
Demanda Regulada, Residencial ,7911.51,33.82%,Mayo,2022
Demanda Regulada, Industrial ,5875.84,25.12%,Mayo,2022
Demanda Regulada, Comercial ,3877.94,16.58%,Mayo,2022
Demanda Regulada, Otros ,2511.22,10.74%,Mayo,2022
Demanda Regulada, SAPG ,1480.99,6.33%,Mayo,2022
Demanda No Regulada,Demanda No Regulada,1735.15,7.42%,Mayo,2022
Demanda Regulada, Residencial ,7889.91,33.66%,Junio,2022
Demanda Regulada, Industrial ,5892.04,25.14%,Junio,2022
Demanda Regulada, Comercial ,3899.43,16.64%,Junio,2022
Demanda Regulada, Otros ,2532.68,10.81%,Junio,2022
Demanda Regulada, SAPG ,1484.63,6.33%,Junio,2022
Demanda No Regulada,Demanda No Regulada,1740.61,7.43%,Junio,2022
Demanda Regulada, Residencial ,7877.33,33.49%,Julio,2022
Demanda Regulada, Industrial ,5941.81,25.26%,Julio,2022
Demanda Regulada, Comercial ,3911.59,16.63%,Julio,2022
Demanda Regulada, Otros ,2548.68,10.84%,Julio,2022
Demanda Regulada, SAPG ,1490.58,6.34%,Julio,2022
Demanda No Regulada,Demanda No Regulada,1751.33,7.45%,Julio,2022
Demanda Regulada, Residencial ,7868.65,33.16%,Agosto,2022
Demanda Regulada, Industrial ,5966.79,25.15%,Agosto,2022
Demanda Regulada, Comercial ,3932.26,16.57%,Agosto,2022
Demanda Regulada, Otros ,2700.78,11.38%,Agosto,2022
Demanda Regulada, SAPG ,1496.97,6.31%,Agosto,2022
Demanda No Regulada,Demanda No Regulada,1762.35,7.43%,Agosto,2022
Demanda Regulada, Residencial ,7884.48,32.98%,Septiembre,2022
Demanda Regulada, Industrial ,6067.91,25.38%,Septiembre,2022
Demanda Regulada, Comercial ,3959.94,16.56%,Septiembre,2022
Demanda Regulada, Otros ,2722.42,11.39%,Septiembre,2022
Demanda Regulada, SAPG ,1505.95,6.30%,Septiembre,2022
Demanda No Regulada,Demanda No Regulada,1766.07,7.39%,Septiembre,2022
Demanda Regulada, Residencial ,7830.68,32.77%,Octubre,2022
Demanda Regulada, Industrial ,6080.84,25.45%,Octubre,2022
Demanda Regulada, Comercial ,3969.82,16.61%,Octubre,2022
Demanda Regulada, Otros ,2737.92,11.46%,Octubre,2022
Demanda Regulada, SAPG ,1505.17,6.30%,Octubre,2022
Demanda No Regulada,Demanda No Regulada,1769.93,7.41%,Octubre,2022
Demanda Regulada, Residencial ,7827.13,32.74%,Noviembre,2022
Demanda Regulada, Industrial ,6095.92,25.50%,Noviembre,2022
Demanda Regulada, Comercial ,3984.42,16.67%,Noviembre,2022
Demanda Regulada, Otros ,2711.54,11.34%,Noviembre,2022
Demanda Regulada, SAPG ,1516.87,6.35%,Noviembre,2022
Demanda No Regulada,Demanda No Regulada,1767.88,7.40%,Noviembre,2022
Demanda Regulada, Residencial ,7832.94,32.79%,Diciembre,2022
Demanda Regulada, Industrial ,6137.3,25.69%,Diciembre,2022
Demanda Regulada, Comercial ,3999.92,16.74%,Diciembre,2022
Demanda Regulada, Otros ,2640.63,11.05%,Diciembre,2022
Demanda Regulada, SAPG ,1521.4,6.37%,Diciembre,2022
Demanda No Regulada,Demanda No Regulada,1758.95,7.36%,Diciembre,2022
Demanda Regulada, Residencial ,7599.88,32.55%,Enero,2023
Demanda Regulada, Industrial ,6013.29,25.75%,Enero,2023
Demanda Regulada, Comercial ,3926.01,16.82%,Enero,2023
Demanda Regulada, Otros ,2619.97,11.22%,Enero,2023
Demanda Regulada, SAPG ,1441.41,6.17%,Enero,2023
Demanda No Regulada,Demanda No Regulada,1747.69,7.49%,Enero,2023
Demanda Regulada, Residencial ,7902.97,32.76%,Febrero,2023
Demanda Regulada, Industrial ,6171.74,25.58%,Febrero,2023
Demanda Regulada, Comercial ,4070.91,16.87%,Febrero,2023
Demanda Regulada, Otros ,2694.09,11.17%,Febrero,2023
Demanda Regulada, SAPG ,1531.45,6.35%,Febrero,2023
Demanda No Regulada,Demanda No Regulada,1753.46,7.27%,Febrero,2023
Demanda Regulada, Residencial ,7934.64,32.77%,Marzo,2023
Demanda Regulada, Industrial ,6174.64,25.50%,Marzo,2023
Demanda Regulada, Comercial ,4096.1,16.92%,Marzo,2023
Demanda Regulada, Otros ,2719.07,11.23%,Marzo,2023
Demanda Regulada, SAPG ,1536.27,6.35%,Marzo,2023
Demanda No Regulada,Demanda No Regulada,1750.7,7.23%,Marzo,2023
Demanda Regulada, Residencial ,7989.63,32.90%,Abril,2023
Demanda Regulada, Industrial ,6164.16,25.38%,Abril,2023
Demanda Regulada, Comercial ,4119.11,16.96%,Abril,2023
Demanda Regulada, Otros ,2726.04,11.22%,Abril,2023
Demanda Regulada, SAPG ,1541.49,6.35%,Abril,2023
Demanda No Regulada,Demanda No Regulada,1745,7.19%,Abril,2023
Demanda Regulada, Residencial ,8079.07,33.07%,Mayo,2023
Demanda Regulada, Industrial ,6171.75,25.26%,Mayo,2023
Demanda Regulada, Comercial ,4157.93,17.02%,Mayo,2023
Demanda Regulada, Otros ,2733.73,11.19%,Mayo,2023
Demanda Regulada, SAPG ,1542.13,6.31%,Mayo,2023
Demanda No Regulada,Demanda No Regulada,1744.67,7.14%,Mayo,2023
Demanda Regulada, Residencial ,8205.04,33.22%,Junio,2023
Demanda Regulada, Industrial ,6232.62,25.23%,Junio,2023
Demanda Regulada, Comercial ,4211.98,17.05%,Junio,2023
Demanda Regulada, Otros ,2751.47,11.14%,Junio,2023
Demanda Regulada, SAPG ,1552.09,6.28%,Junio,2023
Demanda No Regulada,Demanda No Regulada,1745.46,7.07%,Junio,2023
Demanda Regulada, Residencial ,8285.29,33.41%,Julio,2023
Demanda Regulada, Industrial ,6207.38,25.03%,Julio,2023
Demanda Regulada, Comercial ,4256.32,17.16%,Julio,2023
Demanda Regulada, Otros ,2754.71,11.11%,Julio,2023
Demanda Regulada, SAPG ,1549.48,6.25%,Julio,2023
Demanda No Regulada,Demanda No Regulada,1747.57,7.05%,Julio,2023
Demanda Regulada, Residencial ,8386.2,33.75%,Agosto,2023
