Energía Eléctrica (categoría),Subcategoría,Potencia Nominal (MW),Potencia Nominal (%),Potencia Efectiva (MW),Potencia Efectiva (%),Producción Total (GWh),Producción Total (%),Producción SNI (GWh),Producción SNI (%),Entregada a Servicio Público (GWh),Entregada a Servicio Público (%),Mes,Año
Renovable,Hidráulica,5098.75,0.5852,5064.16,0.6256,24010.39,0.7732,23989.85,0.8854,22768.4,0.8968,Febrero,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,74.03,0.0024,68.83,0.0025,72.22,0.0028,Febrero,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,37.98,0.0012,34.1,0.0013,37.41,0.0015,Febrero,2021
Renovable,Biomasa,144.3,0.0166,136.4,0.0168,413.47,0.0133,413.47,0.0153,176.05,0.0069,Febrero,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,44.31,0.0014,44.31,0.0016,43.95,0.0017,Febrero,2021
No Renovable,Térmica MCI ,2029.74,0.233,1633.25,0.2018,4368.91,0.1407,722.53,0.0267,558.94,0.022,Febrero,2021
No Renovable,Térmica Turbogas ,921.85,0.1058,775.55,0.0958,970.12,0.0312,694.66,0.0256,673.24,0.0265,Febrero,2021
No Renovable,Térmica Turbovapor ,461.63,0.053,431.5,0.0533,880.51,0.0284,875.57,0.0323,805.83,0.0317,Febrero,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,251.56,0.0081,251.56,0.0093,251.56,0.0099,Febrero,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Febrero,2021
Renovable,Hidráulica,5098.75,0.5852,5064.16,0.6256,24427.13,0.7769,24406.7,0.8886,23126.92,0.9003,Marzo,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,72.27,0.0023,67.17,0.0024,70.53,0.0027,Marzo,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,38,0.0012,34.25,0.0012,37.38,0.0015,Marzo,2021
Renovable,Biomasa,144.3,0.0166,136.4,0.0168,414.12,0.0132,414.12,0.0151,176.05,0.0069,Marzo,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,44.44,0.0014,44.44,0.0016,44.14,0.0017,Marzo,2021
No Renovable,Térmica MCI ,2029.74,0.233,1633.25,0.2018,4389.96,0.1396,728.61,0.0265,548.73,0.0214,Marzo,2021
No Renovable,Térmica Turbogas ,921.85,0.1058,775.55,0.0958,963.42,0.0306,687.48,0.025,666.01,0.0259,Marzo,2021
No Renovable,Térmica Turbovapor ,461.63,0.053,431.5,0.0533,840.21,0.0267,833.54,0.0303,766.98,0.0299,Marzo,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,250.66,0.008,250.66,0.0091,250.66,0.0098,Marzo,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Marzo,2021
Renovable,Hidráulica,5098.75,0.5851,5064.16,0.6255,24849.01,0.7757,24828.77,0.89,23506.39,0.9022,Abril,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,71.6,0.0022,66.7,0.0024,69.93,0.0027,Abril,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,38.01,0.0012,34.41,0.0012,37.38,0.0014,Abril,2021
Renovable,Biomasa,144.3,0.0166,136.4,0.0168,414.12,0.0129,414.12,0.0148,176.05,0.0068,Abril,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,43.84,0.0014,43.84,0.0016,43.56,0.0017,Abril,2021
No Renovable,Térmica MCI ,2031.08,0.2331,1633.92,0.2018,4567.86,0.1426,760.26,0.0273,559.1,0.0215,Abril,2021
No Renovable,Térmica Turbogas ,921.85,0.1058,775.55,0.0958,959.03,0.0299,665.76,0.0239,644.7,0.0247,Abril,2021
No Renovable,Térmica Turbovapor ,461.63,0.053,431.5,0.0533,840.77,0.0262,831.85,0.0298,765.34,0.0294,Abril,2021
Interconexiones,Colombia,540,0.8308,525,0.8268,250.7,0.0078,250.7,0.009,250.7,0.0096,Abril,2021
Interconexiones,Perú,110,0.1692,110,0.1732,0,0,0,0,0,0,Abril,2021
Renovable,Hidráulica,5098.75,0.5844,5064.16,0.6253,24900.02,0.7724,24880.36,0.8895,23527.98,0.9024,Mayo,2021
Renovable,Eólica,21.15,0.0024,21.15,0.0026,70.6,0.0022,65.98,0.0024,68.99,0.0026,Mayo,2021
Renovable,Fotovoltaica,27.63,0.0032,26.74,0.0033,37.84,0.0012,34.32,0.0012,37.19,0.0014,Mayo,2021
Renovable,Biomasa,144.3,0.0165,136.4,0.0168,414.12,0.0128,414.12,0.0148,176.05,0.0068,Mayo,2021
Renovable,Biogas,7.26,0.0008,6.5,0.0008,44.53,0.0014,44.53,0.0016,44.23,0.0017,Mayo,2021
No Renovable,Térmica MCI ,2042.65,0.2341,1636.37,0.2021,4708.74,0.1461,783.18,0.028,561.13,0.0215,Mayo,2021
No Renovable,Térmica Turbogas ,921.85,0.1057,775.55,0.0958,951.08,0.0295,648.04,0.0232,627.18,0.0241,Mayo,2021
